index,repoName,issueNumber,commentIndex,category,commentBody
805,elasticsearch,14573,27,RO,wrt es v i have to do the following to get the tribe node talking to two different clusters: cluster a and cluster b tribe node\'s configuration elasticsearch yml network host: transport tcp port: urlothers urlothers true tribe t cluster name: cluster a tribe t discovery zen ping unicast hosts: cluster a\'s master node tribe t discovery zen ping multicast enabled: false tribe t path conf: valid path to conf tribe t path plugins: valid path to plugin tribe t network bind host: tribe t network publish host: tribe node\'s ip tribe t transport tcp port: optional but different from tribe node port above repeat the same block but replace t to t for cluster b and fill in proper info related to cluster b but keep the tribe t network \\ the same with different tribe t transport tcp port value from t if specified 
806,elasticsearch,14573,28,[RR/PA],mention setting network and path settings for tribe nodes the t t here should not be necessary can you share your full elasticsearch yml for both the tribe node as well as cluster a and cluster b 
807,elasticsearch,14573,29,RC,mention i did not have to do network and path settings when i was using v it was a surprise to me when v kept giving me accesscontrolexception error message initially it pointed to the plugins location after i set it it complained about the config location if i did not do the network settings for t and t it was not able to connect to cluster a and or b this part is weird too again i did not have to do this in v all es instances are installed using rpm file not zip file my settings for tribe node is above with additional parameters cluster name discovery zen ping multicast enabled: false cluster a and b each has master node data nodes with the following parameters\' settings i don\'t have all information with me at the moment cluster name: cluster a or b network host: transport tcp port: urlothers master urlothers true master discovery zen ping multicast enabled: false discovery zen ping unicast hosts: master node\'s ip path conf: data es config path plugins: data es plugins path data: data es
813,scikit-learn,10773,0,SD,if it doesn\'t regularize then i agree it should be deprecated there are too many parameters to tune especially when you don\'t realise one doesn\'t work on mar : am andreas mueller notifications mention wrote: the docs state that min samples leaf reduces the size of the tree this reference
814,scikit-learn,10773,1,SE,hi can i give this a shot if deprecation is intended 
815,scikit-learn,10773,2,SE,i think mention right that the current option results in bad splits and poor regularisation yes let's deprecate it on march at : farahsaeed notifications mention wrote: hi can i give this a shot if deprecation is intended reference
816,scikit-learn,10773,3,SE,i think deprecation is a good step i\'d kind of like to introduce the correct parameter which is what i intended and which is what\'s implemented in r\'s ranger random forests and c but i\'m not sure how to best do that and if it\'s worth it i think it would be strictly better than code min samples split code 
817,scikit-learn,10773,4,SE,mention it regularizes but it doesn\'t reduce the size of the tree 
818,scikit-learn,10773,5,SE,gotcha
819,scikit-learn,10773,6,PI,mention are you still working on this if not i'd like to take a look at this :
820,scikit-learn,10773,7,RC,mention how would you mitigate this issue 
821,scikit-learn,10773,8,SE,deprecate parameter and remove it from the docs i think the other option would be to actually implement the thing that is implemented in other libraries that would change behavior in a backward incompatible way but only if code min samples split reference though that would be kind of interesting for mention because his paper uses the current implementation very explicitly and shows that it's not useful
822,scikit-learn,10773,9,SD,ffr the paper: urlothers according to the functional anova analysis this hyperparameter is the most important over datasets functional anova does not take into account defaults but further analysis shows that this hyperparameter should often kept left to default probably also interesting for mention as autosklearn tries to optimize this parameter and might waste resources with that updated wrong link
823,scikit-learn,10773,10,NT,mention you can try this any time good luck with your attempt 
824,scikit-learn,10773,11,PO,i will take a stab at this 
825,scikit-learn,10773,12,SD,is it also appropriate to add a note to docstrings for basedecisiontree and basegradientboosting currently those docstrings are just liner this is an abstract class please use derived classes 
826,scikit-learn,10773,13,SE,fixed in urlpull
827,scikit-learn,11313,0,SE,yeah i think that block should be in a code for j in rangen features code loop 
828,scikit-learn,11813,0,SE,we've seen something similar elsewhere recently yes i assume percentile idx needs to be clipped due to floating point errors in percentile weight cdf pr welcome
829,scikit-learn,11813,1,SD,an alternative might be to slightly increase code after calculating code 
830,scikit-learn,11813,2,SE,i assume this would be very hard to write a test for 
831,scikit-learn,11813,3,NT,trying to come up with tests failed 
832,scikit-learn,12373,0,RR,hi mention thanks for the report to make it easier for us to help you it'd be nice if you could provide a minimal reproducible example urlothers which would result in the error you're encountering
833,scikit-learn,12373,1,RO,mention thanks for your reply i tuned the parameters of branching factor threshold when i changed the branching factor from to there is no this kind of issue i will try to reproduce this issue again and extract the training example 
834,scikit-learn,12373,2,RO,it's a duplicate of urlissue a minimal example would definitely help
835,scikit-learn,12373,3,NT,please continue conversation at 
836,scikit-learn,12413,0,RO,i had the same issue a few days ago with a custom estimator thanks for the minimal example mention i had the same issue a few days ago with a custom estimator thanks for the minimal example mention
837,scikit-learn,12413,1,RO,duplicate of 
838,scikit-learn,12413,2,?,hii thank you for posting this but if we put n jobs it will take much more right because n jobs uses all the processors did you find found any way to solve this issue or do we need much more powerful pc
839,scikit-learn,12413,3,RR,you should not have such an error with the last version of scikit learn which version are you using 
840,scikit-learn,12413,4,RO,the scikit learn version is and python 
841,scikit-learn,12413,5,PC,this is solved in versions referencethis is solved in versions referencethis is solved in versions referencethis is solved in versions referencethis is solved in versions referencethis is solved in versions referencethis is solved in versions referencethis is solved in versions referencethis is solved in versions referencethis is solved in versions referencethis is solved in versions referencethis is solved in versions referencethis is solved in versions referencethis is solved in versions referencethis is solved in versions referencethis is solved in versions reference
842,scikit-learn,12413,6,[NT/PR],i really appreciate your help thank u i will check after updating if that solve the problem after checking both the version i am still getting error the error is following brokenprocesspool: a task has failed to un serialize please ensure that the arguments of the function are all picklable 
843,scikit-learn,12413,7,RC,i am still encountering this problem when using either scikit learn versions or 
844,scikit-learn,12413,8,RR,mention could you post a reproducible example of the error 
845,scikit-learn,12413,9,RO,here i am sharing my complete code: code i have checked for both scikit learn versions and 
846,scikit-learn,12413,10,RC,i also have this problem python and scikit learn i can skip the error by code 
847,scikit-learn,12413,11,PC,mention i tried code on windows and it did not work i changed to use it on ubuntu and it well done but it just uses cpu not gpu may be it does not support gpu for ann training urlothers
848,scikit-learn,12413,12,RC,i also have this problem on window even if i am running with cpus i am using: joblib scikit learn python 
849,scikit-learn,12413,13,RC,i also have this problem using: python scikit learn but code helps
850,scikit-learn,12413,14,DT,could you please open a new issue with a reproducible example the error seems to concern only windows and custom estimators implemented using keras whereas the original issue was concerning any platform and any custom estimator
851,scikit-learn,12413,15,[RC/PC],reference my problem is the same example explained in previous comments and yes i'm running a bit windows and using keras my lines of code are: codearea error: codearea i'm using: python scikit learn spyder
852,scikit-learn,12413,16,DT,thanks for the details mention what i meant is that the original issue described in the top comment urlissue is not the same as the one you describe although similar the original issue was solved and closed it would be better to open a new issue with your error related to windows keras and joblib 
853,scikit-learn,12413,17,NT,reference reference reference thanks mention i opened a new issue 
854,scikit-learn,12413,18,SD,using n jobs solved the error on windows python 
855,scikit-learn,12413,19,SD,you need to install the joblib package if that error still happens set n jobs none 
856,scikit-learn,12413,20,SE,reference i know but i wanted to fix the error with code
857,scikit-learn,12413,21,SD,import os os environ 'kmp duplicate lib ok' 'true' hope these work for you
858,scikit-learn,12413,22,SE,i get the same error with python and sklearn under windows none of the above worked for me can this issue be solved somehow 
859,scikit-learn,12523,0,NT,thanks for the report could you please open this issue in urlothers with a link here so it's fixed upstream and we will keep this issue open until it's resolved in the vendored version
860,scikit-learn,12523,1,PI,reported upstream in urlissue
